ID_Muestra,Predict
1,59.17785121871846
2,74.39458141165053
3,76.29244343151996
4,64.40169612258602
5,79.41617542283545
6,73.39043616983656
7,79.35311624974428
8,71.89802204592462
9,79.40901602234217
10,25.78389925188217
11,39.31920987875574
12,55.52035119460275
13,27.056496230809227
14,31.703790848544013
15,20.87523417501368
16,49.360659660103245
17,45.625518626419236
18,39.499779938430265
19,48.18203918939206
20,52.24258325503007
21,51.72415823276758
22,33.57531493225903
23,24.418406249227864
24,28.070287381327727
25,28.684098322214833
26,58.300316186576445
27,49.45522940427935
28,32.18427523313396
29,27.99610982715499
30,60.46118493956883
31,33.57973480427906
32,34.81829717510168
33,48.99581524373272
34,30.50248470570799
35,29.87044688136464
36,55.69358023181428
37,57.66953331374023
38,53.087216091569545
39,60.75309661257022
40,28.029931216965846
41,56.31389021020272
42,50.65958000483133
43,39.523461177460284
44,42.857181214734545
45,53.958599132384336
46,59.07167855020709
47,39.16444890478935
48,36.98901050602727
49,39.34939413446357
50,46.6543434536967
51,23.964422841301797
52,28.182028449222006
53,24.084694090077917
54,50.408125491639865
55,28.090164950787752
56,34.235268057779706
57,30.581355962011212
58,33.60561571350053
59,70.78794132471819
60,63.71816431025931
